State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time
Maharashtra,671942,480114,21995,169516,22-08-2020 19:57
Tamil Nadu,373410,313280,6420,53710,22-08-2020 20:26
Andhra Pradesh,345216,252638,3189,89389,22-08-2020 18:29
Karnataka,271876,184568,4615,82677,22-08-2020 20:52
NCT of Delhi,160016,144138,4284,11594,22-08-2020 18:29
Uttar Pradesh,182456,131295,2867,48294,22-08-2020 17:09
West Bengal,135596,104959,2737,27900,22-08-2020 20:39
Bihar,119909,95372,601,23935,22-08-2020 18:29
Telangana,101865,78735,744,22386,22-08-2020 09:31
Gujarat,84466,67377,2867,14222,21-08-2020 21:05
Assam,87909,65597,234,22075,22-08-2020 21:19
Rajasthan,68566,52721,938,14907,22-08-2020 11:52
Odisha,75537,52277,452,22808,22-08-2020 21:17
Haryana,53290,44013,597,8680,22-08-2020 20:11
Madhya Pradesh,51866,39399,1206,11261,22-08-2020 19:12
Kerala,56354,36535,219,19538,22-08-2020 19:39
Punjab,40643,24302,1036,15305,22-08-2020 20:26
Jammu & Kashmir,31981,24398,608,6975,22-08-2020 18:29
Jharkhand,28196,18372,297,9527,21-08-2020 23:16
Chhattisgarh,20078,12394,189,7495,22-08-2020 21:25
Uttarakhand,14566,10021,195,4296,22-08-2020 21:17
Goa,13790,10019,140,3631,22-08-2020 19:57
Tripura,8386,6061,70,2237,22-08-2020 11:06
Puducherry,10112,6307,151,3654,22-08-2020 16:42
Manipur,5132,3455,22,1655,22-08-2020 18:52
Himachal Pradesh,4789,3280,27,1433,22-08-2020 18:52
Nagaland,3635,2166,8,1453,22-08-2020 18:52
Arunanchal Pradesh,3126,2125,5,996,21-08-2020 23:16
Andaman & Nicobar Island,2747,1744,32,971,21-08-2020 22:42
Chandigarh,2776,1471,33,1270,22-08-2020 18:29
Dadara & Nagar Havelli,2123,1702,2,397,22-08-2020 20:39
Meghalaya,1811,769,7,1035,22-08-2020 20:39
Sikkim,1381,871,3,507,22-08-2020 21:07
Mizoram,903,421,0,482,22-08-2020 17:27
Lakshadweep,0,0,0,0,26-03-2020 07:19
